date,open,close,high,low
2015-01-05,13.825,13.671,13.925,13.316
2015-01-06,13.543,13.361,13.798,12.998
2015-01-07,13.361,13.652,14.161,13.271
2015-01-08,13.652,13.171,13.816,13.089
2015-01-09,13.098,13.062,13.58,13.016
2015-01-12,13.098,12.743,13.316,12.625
2015-01-13,12.743,12.343,12.789,12.28
2015-01-14,12.28,12.443,12.589,12.28
2015-01-15,12.471,12.98,12.998,12.298
2015-01-16,12.989,12.762,13.062,12.543
2015-01-19,11.489,11.489,11.634,11.489
2015-01-20,10.68,10.762,11.316,10.435
2015-01-21,10.998,11.644,11.707,10.998
2015-01-22,11.671,11.707,11.789,11.48
2015-01-23,11.771,11.934,12.398,11.771
2015-01-26,12.18,12.18,12.407,11.962
2015-01-27,12.171,11.934,12.207,11.653
2015-01-28,11.816,11.862,12.134,11.725
2015-01-29,11.589,11.471,11.744,11.371
2015-01-30,11.653,11.453,11.834,11.444
2015-02-02,10.907,10.98,11.235,10.871
2015-02-03,11.198,11.48,11.498,11.016
2015-02-04,11.507,11.198,11.771,11.18
2015-02-05,11.716,11.18,11.753,11.125
2015-02-06,11.18,11.298,11.58,11.135
2015-02-09,11.362,12.343,12.425,11.353
2015-02-10,12.162,12.453,12.58,12.125
2015-02-11,12.534,12.434,12.571,12.28
2015-02-12,12.425,12.362,12.507,12.125
2015-02-13,12.453,12.325,12.571,12.28
2015-02-16,12.316,12.343,12.443,12.143
2015-02-17,12.362,12.625,12.871,12.362
2015-02-25,12.725,12.443,12.762,12.398
2015-02-26,12.398,13.234,13.334,12.253
2015-02-27,13.198,13.071,13.361,13.016
2015-03-02,13.452,13.225,13.589,13.161
2015-03-03,13.216,12.634,13.216,12.507
2015-03-04,12.543,12.607,12.752,12.453
2015-03-05,12.543,12.698,12.898,12.371
2015-03-06,12.698,12.553,12.934,12.525
2015-03-09,11.916,12.289,12.398,11.653
2015-03-10,12.262,12.298,12.589,12.034
2015-03-11,12.298,12.216,12.589,12.134
2015-03-12,12.325,12.48,12.589,12.18
2015-03-13,12.507,12.852,13.089,12.507
2015-03-16,13.225,13.025,13.271,12.752
2015-03-17,13.207,13.298,13.434,12.943
2015-03-18,13.334,13.425,13.607,13.334
2015-03-19,13.434,13.271,13.498,13.189
2015-03-20,13.271,13.998,14.525,13.098
2015-03-23,14.07,14.125,14.298,13.816
2015-03-24,14.152,13.743,14.225,13.38
2015-03-25,13.77,13.652,14.134,13.561
2015-03-26,13.543,13.589,13.87,13.352
2015-03-27,13.589,13.661,13.88,13.498
2015-03-30,13.698,14.089,14.189,13.634
2015-03-31,14.225,14.379,15.27,14.18
2015-04-01,14.452,14.979,15.134,14.18
2015-04-02,15.188,14.834,15.261,14.57
2015-04-03,14.698,15.188,15.316,14.634
2015-04-07,15.37,15.352,15.543,15.043
2015-04-08,15.352,16.161,16.406,15.152
2015-04-09,16.352,16.061,17.452,16.034
2015-04-10,16.088,16.161,16.452,15.716
2015-04-13,16.179,15.852,16.343,15.697
2015-04-14,15.816,15.952,16.152,15.279
2015-04-15,15.87,15.234,16.079,15.198
2015-04-16,14.988,15.343,15.543,14.725
2015-04-17,15.37,15.906,16.361,15.288
2015-04-20,15.997,15.179,15.997,15.116
2015-04-21,15.17,16.034,16.206,15.052
2015-04-22,16.206,17.17,17.27,16.016
2015-04-23,17.361,16.861,17.679,16.734
2015-04-24,16.461,16.161,16.806,16.025
2015-04-27,16.17,16.243,16.579,16.052
2015-04-28,16.443,16.397,16.861,16.297
2015-04-29,16.415,16.197,16.452,15.916
2015-04-30,16.197,15.807,16.361,15.788
2015-05-04,15.725,15.807,16.061,15.397
2015-05-05,15.816,15.288,16.234,15.179
2015-05-06,15.452,15.225,15.897,15.007
2015-05-07,15.179,15.243,15.497,15.043
2015-05-08,15.516,15.27,15.652,14.861
2015-05-11,15.479,15.607,15.616,15.188
2015-05-12,15.597,15.997,16.316,15.325
2015-05-13,15.916,15.534,15.925,15.443
2015-05-14,15.507,15.343,15.688,15.279
2015-05-15,15.252,14.798,15.343,14.707
2015-05-18,14.543,14.598,14.97,14.507
2015-05-19,14.597,15.555,15.865,14.579
2015-05-20,15.509,15.263,15.591,15.163
2015-05-21,15.299,15.227,15.382,15.026
2015-05-22,15.363,15.619,15.938,15.29
2015-05-25,15.664,16.047,16.302,15.664
2015-05-26,16.093,16.403,16.485,15.701
2015-05-27,16.503,16.357,16.767,16.229
2015-05-28,16.348,14.771,16.403,14.725
2015-05-29,14.862,14.625,15.163,14.224
2015-06-01,14.625,15.299,15.582,14.442
2015-06-02,15.227,15.208,15.382,14.98
2015-06-03,15.263,15.208,15.518,15.053
2015-06-04,15.144,15.454,15.655,14.543
2015-06-05,15.655,15.454,15.837,15.135
2015-06-08,15.482,16.12,16.175,15.363
2015-06-09,16.229,15.737,16.275,15.591
2015-06-10,15.664,15.764,16.138,15.409
2015-06-11,15.673,15.527,15.746,15.409
2015-06-12,15.546,15.573,15.828,15.509
2015-06-15,15.774,15.09,15.856,15.053
2015-06-16,15.044,14.853,15.409,14.716
2015-06-17,14.907,14.98,15.035,14.597
2015-06-18,14.898,14.187,14.898,14.132
2015-06-19,14.096,13.567,14.679,13.503
2015-06-23,13.722,14.032,14.041,12.765
2015-06-24,14.059,14.087,14.132,13.749
2015-06-25,14.142,13.749,14.36,13.686
2015-06-26,13.54,12.373,13.977,12.373
2015-06-29,12.856,11.397,12.856,11.133
2015-06-30,11.397,12.482,12.528,10.896
2015-07-01,12.309,11.716,12.701,11.671
2015-07-02,12.318,11.734,12.364,11.005
2015-07-03,11.762,11.197,12.081,10.577
2015-07-06,12.318,11.807,12.318,11.187
2015-07-07,11.634,10.95,11.99,10.64
2015-07-08,9.856,9.856,9.929,9.856
2015-07-09,9.847,10.841,10.841,8.872
2015-07-10,10.75,11.871,11.926,10.54
2015-07-13,11.589,11.944,12.446,11.443
2015-07-14,11.561,11.096,11.744,10.941
2015-07-15,10.814,9.984,11.215,9.984
2015-07-16,9.984,10.121,10.44,9.665
2015-07-17,10.257,10.759,10.905,10.121
2015-07-20,10.759,10.577,10.923,10.44
2015-07-21,10.485,10.759,11.023,10.358
2015-07-22,10.795,10.558,10.795,10.422
